Age,Sex,Level,Field,Degree,Employability,Income,Daily_used,Accounts,Hrs,Time,Followers,Posted,Posted_later,Believed,UseRes,RealName
18 to 22,Male,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",30 min,Night,1200,No,No,No,Entertainment,No
18 to 22,Male,Specialisation (two years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Facebook, Twitter, WhatsApp, Youtube",1 hour,"Morning, Afternoon, Evening, Night",100,No,No,No,Communication,Yes
18 to 22,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,Instagram,"Instagram, TikTok, Snapchat, WhatsApp",4 hours & more,"Morning, Afternoon, Evening, Night",7335,No,No,No,Discovering/Developing Talents,Yes
18 to 22,Female,Specialisation (two years),IT related field,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Snapchat","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",200,No,No,No,Communication,Yes
41 to 50,Female,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,800 or more,"Instagram, Snapchat, Facebook, WhatsApp, Youtube","Instagram, Facebook, WhatsApp",1 hour,"Evening, Night",500,No,No,No,Communication,Yes
18 to 22,Female,Specialisation (one year),IT related field,Diploma,I do not work I am a student,800 or more,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp",4 hours & more,"Afternoon, Night",1000,No,No,No,Cultural,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,800 or more,"Instagram, Snapchat, Facebook, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",200,No,No,No,Entertainment,No
41 to 50,Female,Specialisation (Four years),Business related,Bachelor,Employed in Public Sector,800 or more,"Instagram, WhatsApp, Youtube",Instagram,4 hours & more,Night,30,No,No,No,Communication,No
31 to 40,Female,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,800 or more,"Instagram, Twitter, WhatsApp","Instagram, Facebook, Twitter, WhatsApp",1 hour,Evening,50,No,No,No,Discovering/Developing Talents,Yes
18 to 22,Female,General Foundation,IT related field,Bachelor,I do not work I am a student,800 or more,WhatsApp,"Instagram, Snapchat, WhatsApp, Youtube",30 min,Morning,400,No,No,No,Discovering/Developing Talents,Yes
41 to 50,Male,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,800 or more,"Twitter, WhatsApp","Twitter, WhatsApp",1 hour,Evening,25,No,No,No,Communication,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Twitter, WhatsApp, Youtube",1 hour,"Afternoon, Evening, Night",700,No,No,No,Communication,No
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,800 or more,"Instagram, TikTok, Snapchat","Instagram, TikTok, Snapchat",30 min,Night,100,No,No,No,Trade,No
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,800 or more,Instagram,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",2-3 hours,Evening,160,No,No,No,Discovering/Developing Talents,Yes
23 to 27,Male,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Night,10000,No,No,No,Communication,Yes
18 to 22,Male,Specialisation (two years),Art and Architecture related,Diploma,Employed in Public Sector,800 or more,Yava,"Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Afternoon, Evening, Night",50000,No,No,No,Trade,No
18 to 22,Male,Specialisation (one year),Engineering ,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Snapchat","Instagram, TikTok, Snapchat, Facebook, WhatsApp, Youtube",4 hours & more,"Afternoon, Evening, Night",400,No,No,No,Communication,Yes
18 to 22,Male,Specialisation (two years),Engineering ,Diploma,I do not work I am a student,200-300 OMR,WhatsApp,Instagram,30 min,"Morning, Evening",3,No,No,No,Cultural,Yes
18 to 22,Male,Specialisation (one year),Engineering ,Bachelor,I do not work I am a student,200-300 OMR,Instagram,TikTok,2-3 hours,Night,200,No,No,No,Entertainment,No
18 to 22,Female,Specialisation (two years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp",1 hour,"Afternoon, Night",2980,No,No,No,Communication,No
18 to 22,Male,Specialisation (two years),Business related,Diploma,I do not work I am a student,200-300 OMR,Snapchat,"Instagram, Snapchat, Youtube",4 hours & more,Evening,800,No,No,No,Communication,Yes
23 to 27,Male,Specialisation (one year),Business related,Diploma,I do not work I am a student,200-300 OMR,Instagram,Instagram,30 min,Afternoon,3000,No,No,No,Communication,Yes
18 to 22,Female,Specialisation (two years),IT related field,Diploma,I do not work I am a student,200-300 OMR,"Instagram, TikTok, Snapchat, WhatsApp","TikTok, Snapchat",2-3 hours,Evening,100,No,No,No,Entertainment,No
18 to 22,Male,Specialisation (one year),IT related field,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",4 hours & more,"Afternoon, Evening, Night",10,Yes,No,No,Communication,No
18 to 22,Male,General Foundation,Engineering ,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Twitter, WhatsApp, Youtube","Instagram, Twitter, WhatsApp, Youtube",2-3 hours,"Morning, Evening, Night",123,Yes,No,No,Discovering/Developing Talents,Yes
18 to 22,Male,Specialisation (one year),IT related field,Diploma,Private business,600-700 OMR,Twitter,"Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp",1 hour,Night,2000,No,Yes,No,Cultural,Yes
18 to 22,Female,Specialisation (three years),Engineering ,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp, Youtube",4 hours & more,"Evening, Night",882,No,Yes,No,Entertainment,Yes
18 to 22,Male,Specialisation (two years),IT related field,Diploma,I do not work I am a student,200-300 OMR,Instagram,Instagram,2-3 hours,Afternoon,3,Yes,Yes,No,Entertainment,Yes
18 to 22,Male,Specialisation (two years),IT related field,Diploma,Private business,800 or more,"Instagram, Snapchat, WhatsApp, ","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,Evening,120000,Yes,Yes,No,Communication,Yes
31 to 40,Male,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, Snapchat, Twitter","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube, ",2-3 hours,Afternoon,500,Yes,Yes,No,Cultural,Yes
18 to 22,Female,Specialisation (one year),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat",2-3 hours,Morning,4,Yes,Yes,No,Cultural,Yes
23 to 27,Male,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, Twitter, WhatsApp, Youtube","Instagram, Twitter, WhatsApp, Youtube",2-3 hours,Night,6,Yes,Yes,Yes,Discovering/Developing Talents,Yes
